parcela,fecha,ndvi
La Palma (Cartagena),2023-09-07,0.0978
La Palma (Cartagena),2023-09-17,0.1127
La Palma (Cartagena),2023-09-27,0.1286
La Palma (Cartagena),2023-10-02,0.1333
La Palma (Cartagena),2023-10-07,0.1451
La Palma (Cartagena),2023-10-12,0.1800
La Palma (Cartagena),2023-11-11,0.5804
La Palma (Cartagena),2023-11-21,0.7099
La Palma (Cartagena),2023-12-11,0.8147
La Palma (Cartagena),2023-12-16,0.7909
La Palma (Cartagena),2023-12-21,0.7671
La Palma (Cartagena),2024-01-25,0.1746
La Palma (Cartagena),2024-02-04,0.1737
La Palma (Cartagena),2024-02-19,0.2227
La Palma (Cartagena),2024-02-24,0.2842
La Palma (Cartagena),2024-02-29,0.3127
La Palma (Cartagena),2024-03-05,0.3579
La Palma (Cartagena),2024-03-15,0.4727
La Palma (Cartagena),2024-04-09,0.5255
La Palma (Cartagena),2024-04-14,0.4551
La Palma (Cartagena),2024-04-24,0.2187
La Palma (Cartagena),2024-05-14,0.1316
La Palma (Cartagena),2024-05-24,0.1547
La Palma (Cartagena),2024-05-29,0.2045
La Palma (Cartagena),2024-06-03,0.2978
La Palma (Cartagena),2024-06-18,0.4582
La Palma (Cartagena),2024-06-23,0.5162
Torre Pacheco oeste,2023-09-17,0.1067
Torre Pacheco oeste,2023-09-27,0.1272
Torre Pacheco oeste,2023-10-02,0.1353
Torre Pacheco oeste,2023-10-07,0.1542
Torre Pacheco oeste,2023-10-12,0.1998
Torre Pacheco oeste,2023-11-01,0.3709
Torre Pacheco oeste,2023-11-11,0.4030
Torre Pacheco oeste,2023-11-21,0.4878
Torre Pacheco oeste,2023-12-11,0.4342
Torre Pacheco oeste,2023-12-16,0.3577
Torre Pacheco oeste,2023-12-21,0.2690
Torre Pacheco oeste,2024-01-10,0.2253
Torre Pacheco oeste,2024-01-25,0.2292
Torre Pacheco oeste,2024-02-04,0.2513
Torre Pacheco oeste,2024-02-19,0.3357
Torre Pacheco oeste,2024-02-24,0.3706
Torre Pacheco oeste,2024-02-29,0.4048
Torre Pacheco oeste,2024-03-05,0.4219
Torre Pacheco oeste,2024-03-15,0.4859
Torre Pacheco oeste,2024-04-09,0.3247
Torre Pacheco oeste,2024-04-14,0.2933
Torre Pacheco oeste,2024-04-24,0.2766
Torre Pacheco oeste,2024-05-14,0.2180
Torre Pacheco oeste,2024-05-24,0.1307
Torre Pacheco oeste,2024-05-29,0.1162
Torre Pacheco oeste,2024-06-03,0.1144
Torre Pacheco oeste,2024-06-18,0.1165
Torre Pacheco oeste,2024-06-23,0.0906
Los Infiernos,2023-09-07,0.2159
Los Infiernos,2023-09-17,0.2022
Los Infiernos,2023-09-27,0.2290
Los Infiernos,2023-10-02,0.2365
Los Infiernos,2023-10-07,0.2336
Los Infiernos,2023-10-12,0.2363
Los Infiernos,2023-11-21,0.2232
Los Infiernos,2023-12-16,0.2649
Los Infiernos,2023-12-21,0.2589
Los Infiernos,2024-01-25,0.2690
Los Infiernos,2024-02-04,0.2777
Los Infiernos,2024-02-19,0.2799
Los Infiernos,2024-02-24,0.2793
Los Infiernos,2024-02-29,0.2830
Los Infiernos,2024-03-05,0.2718
Los Infiernos,2024-03-15,0.2661
Los Infiernos,2024-04-09,0.2423
Los Infiernos,2024-04-14,0.2342
Los Infiernos,2024-04-24,0.2375
Los Infiernos,2024-05-04,0.2059
Los Infiernos,2024-05-14,0.1957
Los Infiernos,2024-05-24,0.1873
Los Infiernos,2024-05-29,0.1827
Los Infiernos,2024-06-03,0.1872
